ticker,sector
BHAGCHEM.NS,UNKNOWN
BHAGERIA.NS,UNKNOWN
BHAGYANGR.NS,UNKNOWN
BHANDARI.NS,UNKNOWN
BHARATFORG.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
BHARATGEAR.NS,UNKNOWN
BHARATRAS.NS,UNKNOWN
BHARATSE.NS,UNKNOWN
BHARATWIRE.NS,UNKNOWN
BHARTIARTL.NS,TELECOMMUNICATION
BHARTIHEXA.NS,TELECOMMUNICATION
BHEL.NS,CAPITAL_GOODS
BIGBLOC.NS,UNKNOWN
BIKAJI.NS,FAST_MOVING_CONSUMER_GOODS
BIL.NS,UNKNOWN
BILVYAPAR.NS,UNKNOWN
BIOCON.NS,HEALTHCARE
BIOFILCHEM.NS,UNKNOWN
BIRLACABLE.NS,UNKNOWN
BIRLACORPN.NS,UNKNOWN
BIRLAMONEY.NS,UNKNOWN
BIRLANU.NS,UNKNOWN
BLACKBUCK.NS,UNKNOWN
BLAL.NS,UNKNOWN
BLBLIMITED.NS,UNKNOWN
BLISSGVS.NS,UNKNOWN
BLKASHYAP.NS,UNKNOWN
BLS.NS,CONSUMER_SERVICES
BLSE.NS,UNKNOWN
BLUECOAST.NS,UNKNOWN
BLUEDART.NS,SERVICES
BLUEJET.NS,HEALTHCARE
BLUESTARCO.NS,CONSUMER_DURABLES
BLUESTONE.NS,UNKNOWN
BLUSPRING.NS,UNKNOWN
BMWVENTLTD.NS,UNKNOWN
BODALCHEM.NS,UNKNOWN
BOHRAIND.NS,UNKNOWN
BOMDYEING.NS,UNKNOWN
BORANA.NS,UNKNOWN
BOROLTD.NS,UNKNOWN
BORORENEW.NS,UNKNOWN
BOROSCI.NS,UNKNOWN
BOSCHLTD.NS,AUTOMOBILE_AND_AUTO_COMPONENTS
BPCL.NS,OIL_GAS_AND_CONSUMABLE_FUELS
BPL.NS,UNKNOWN
BRIGADE.NS,REALTY
BRIGHOTEL.NS,UNKNOWN
BRITANNIA.NS,FAST_MOVING_CONSUMER_GOODS
BRNL.NS,UNKNOWN
BROOKS.NS,UNKNOWN
BSE.NS,FINANCIAL_SERVICES
BSHSL.NS,UNKNOWN
BSL.NS,UNKNOWN
BSOFT.NS,INFORMATION_TECHNOLOGY
BTML.NS,UNKNOWN
BUTTERFLY.NS,UNKNOWN
BVCL.NS,UNKNOWN
BYKE.NS,UNKNOWN
CALSOFT.NS,UNKNOWN
CAMLINFINE.NS,UNKNOWN
CAMPUS.NS,CONSUMER_DURABLES
CAMS.NS,FINANCIAL_SERVICES
CANBK.NS,FINANCIAL_SERVICES
CANFINHOME.NS,FINANCIAL_SERVICES
CANHLIFE.NS,UNKNOWN
CANTABIL.NS,UNKNOWN
CAPACITE.NS,UNKNOWN
CAPILLARY.NS,UNKNOWN
CAPITALSFB.NS,UNKNOWN
CAPLIPOINT.NS,HEALTHCARE
CAPTRUST.NS,UNKNOWN
CARBORUNIV.NS,CAPITAL_GOODS
CARERATING.NS,UNKNOWN
CARRARO.NS,UNKNOWN
CARTRADE.NS,UNKNOWN
CARYSIL.NS,UNKNOWN
CASTROLIND.NS,OIL_GAS_AND_CONSUMABLE_FUELS
CCCL.NS,UNKNOWN
CCHHL.NS,UNKNOWN
CCL.NS,FAST_MOVING_CONSUMER_GOODS
CDSL.NS,FINANCIAL_SERVICES
